booking_id,customer_id,hotel_id,room_id,booking_date,check_in,check_out,stay_duration,adults,children,booking_channel,booking_status,room_type,room_price_per_night,discount_rate,discount_amount,tax_amount,total_amount,realized_revenue
1,7090,3,70,2025-12-27,2025-12-28,2025-12-31,3,2,0,Goibibo,Confirmed,Suite,12459.35,0.1,3737.81,4036.83,37677.07,37677.07
2,2508,20,511,2026-04-15,2026-04-17,2026-04-19,2,2,0,MakeMyTrip,Confirmed,Standard,3931.6,0.05,393.16,896.4,8366.44,8366.44
3,7401,10,260,2025-10-30,2025-12-14,2025-12-15,1,2,0,Website,Cancelled,Deluxe,6963.01,0.15,1044.45,710.23,6628.79,0.0
4,4770,5,124,2025-02-03,2025-02-08,2025-02-11,3,1,0,Booking.com,No-show,Standard,3515.01,0.15,1581.75,1075.59,10038.87,0.0
5,6174,3,84,2024-03-14,2024-04-13,2024-04-16,3,4,2,Goibibo,Confirmed,Standard,4803.77,0.1,1441.13,1556.42,14526.6,14526.6
6,5427,9,227,2025-10-09,2025-10-11,2025-10-12,1,1,1,Website,Confirmed,Deluxe,6270.37,0.0,0.0,752.44,7022.81,7022.81
7,9019,2,37,2025-08-28,2025-08-30,2025-08-31,1,3,0,MakeMyTrip,Confirmed,Deluxe,7302.36,0.0,0.0,876.28,8178.64,8178.64
8,143,15,376,2024-04-17,2024-04-24,2024-04-27,3,2,1,Direct,Cancelled,Suite,8520.79,0.1,2556.24,2760.74,25766.87,0.0
9,1840,20,509,2024-06-11,2024-06-14,2024-06-19,5,3,2,Corporate,Cancelled,Standard,3911.0,0.15,2933.25,1994.61,18616.36,0.0
10,160,6,152,2025-10-19,2025-11-18,2025-11-24,6,2,0,Website,Completed,Standard,3739.85,0.0,0.0,2692.69,25131.79,25131.79
11,6313,4,98,2026-05-15,2026-05-18,2026-05-22,4,3,1,Corporate,Completed,Suite,12272.75,0.05,2454.55,5596.37,52232.82,52232.82
12,3680,20,498,2024-07-28,2024-07-31,2024-08-01,1,2,0,Website,Completed,Suite,10067.12,0.0,0.0,1208.05,11275.17,11275.17
13,6776,7,175,2025-09-18,2025-11-02,2025-11-03,1,4,1,Corporate,Cancelled,Standard,3346.42,0.0,0.0,401.57,3747.99,0.0
14,499,7,175,2025-09-07,2025-09-09,2025-09-12,3,2,0,Website,Completed,Standard,3346.42,0.05,501.96,1144.48,10681.77,10681.77
15,4804,3,59,2025-12-07,2025-12-28,2025-12-29,1,2,0,Booking.com,Completed,Deluxe,7290.17,0.1,729.02,787.34,7348.49,7348.49
16,8546,2,47,2026-06-04,2026-06-18,2026-06-20,2,3,0,Expedia,Completed,Deluxe,7228.66,0.1,1445.73,1561.39,14572.98,14572.98
17,7739,17,416,2024-08-25,2024-09-08,2024-09-14,6,2,1,Direct,Completed,Deluxe,5881.69,0.1,3529.01,3811.34,35572.46,35572.46
18,292,8,206,2024-07-07,2024-07-17,2024-07-22,5,2,0,Website,Completed,Standard,4972.08,0.0,0.0,2983.25,27843.65,27843.65
19,9886,13,339,2026-04-15,2026-04-25,2026-04-26,1,1,0,MakeMyTrip,Completed,Deluxe,7037.92,0.05,351.9,802.32,7488.35,7488.35
20,1978,1,2,2025-03-26,2025-04-25,2025-04-26,1,2,0,MakeMyTrip,Completed,Standard,3810.2,0.0,0.0,457.22,4267.42,4267.42
21,1703,3,71,2026-04-07,2026-05-22,2026-05-24,2,2,2,Walk-in,Completed,Deluxe,7047.83,0.1,1409.57,1522.33,14208.43,14208.43
22,9443,2,43,2024-09-08,2024-09-15,2024-09-16,1,2,2,Website,Cancelled,Deluxe,6758.95,0.0,0.0,811.07,7570.02,0.0
23,4144,5,114,2025-10-21,2025-11-11,2025-11-12,1,2,0,Website,Completed,Standard,3930.29,0.0,0.0,471.63,4401.92,4401.92
24,5102,19,480,2025-10-08,2025-10-15,2025-10-16,1,1,2,Booking.com,No-show,Executive,8844.27,0.0,0.0,1061.31,9905.58,0.0
25,4212,14,369,2025-01-26,2025-01-29,2025-02-02,4,2,1,Website,Completed,Deluxe,5133.06,0.1,2053.22,2217.48,20696.5,20696.5
26,9728,4,100,2024-11-19,2024-11-22,2024-11-24,2,2,0,Corporate,Completed,Standard,4645.29,0.0,0.0,1114.87,10405.45,10405.45
27,9871,8,184,2024-04-08,2024-04-09,2024-04-11,2,1,0,Booking.com,No-show,Deluxe,7963.11,0.0,0.0,1911.15,17837.37,0.0
28,9769,9,232,2025-02-11,2025-02-18,2025-02-21,3,2,1,Direct,Completed,Standard,4998.3,0.0,0.0,1799.39,16794.29,16794.29
29,1281,8,182,2026-01-10,2026-01-31,2026-02-07,7,4,1,Corporate,Completed,Standard,5944.57,0.0,0.0,4993.44,46605.43,46605.43
30,9249,20,514,2024-03-12,2024-04-11,2024-04-14,3,2,2,Walk-in,Completed,Deluxe,5699.54,0.05,854.93,1949.24,18192.93,18192.93
31,9816,11,278,2025-11-24,2025-11-27,2025-11-28,1,2,0,Corporate,Completed,Standard,3468.77,0.15,520.32,353.81,3302.27,3302.27
32,4307,11,282,2026-06-08,2026-06-11,2026-06-13,2,3,0,Direct,Completed,Standard,3414.61,0.05,341.46,778.53,7266.29,7266.29
33,2176,17,438,2024-03-14,2024-03-19,2024-03-20,1,2,0,Direct,Confirmed,Standard,4432.58,0.0,0.0,531.91,4964.49,4964.49
34,5324,3,57,2024-03-26,2024-03-27,2024-03-28,1,3,0,Booking.com,Completed,Suite,13800.18,0.05,690.01,1573.22,14683.39,14683.39
35,947,17,436,2024-05-16,2024-05-21,2024-05-26,5,2,0,Booking.com,Completed,Deluxe,5594.97,0.15,4196.23,2853.43,26632.06,26632.06
36,126,15,372,2026-03-23,2026-03-24,2026-03-25,1,2,0,Expedia,Completed,Deluxe,5156.95,0.15,773.54,526.01,4909.42,4909.42
37,1694,17,419,2026-02-06,2026-03-23,2026-03-28,5,3,0,Booking.com,Completed,Executive,7903.4,0.05,1975.85,4504.94,42046.09,42046.09
38,6871,4,103,2025-06-04,2025-06-25,2025-06-28,3,1,0,Website,Completed,Standard,4367.91,0.05,655.19,1493.83,13942.37,13942.37
39,1097,20,512,2026-05-07,2026-05-09,2026-05-13,4,3,0,Direct,Completed,Standard,4417.77,0.15,2650.66,1802.45,16822.87,16822.87
40,8224,7,175,2025-09-11,2025-10-02,2025-10-06,4,2,1,MakeMyTrip,No-show,Standard,3346.42,0.1,1338.57,1445.65,13492.77,0.0
41,6008,4,105,2026-02-09,2026-02-10,2026-02-11,1,4,1,Walk-in,Completed,Standard,4177.47,0.15,626.62,426.1,3976.95,3976.95
42,2016,14,364,2024-10-24,2024-10-25,2024-10-28,3,2,2,Direct,Cancelled,Standard,4463.29,0.1,1338.99,1446.11,13496.99,0.0
