room_id,hotel_id,room_number,room_type,price_per_night,status
1,1,001,Standard,3773.73,Maintenance
2,1,002,Standard,3810.2,Available
3,1,003,Standard,4551.08,Available
4,1,004,Executive,7524.4,Available
5,1,005,Standard,4517.03,Available
6,1,006,Standard,3748.25,Available
7,1,007,Standard,4302.11,Available
8,1,008,Executive,6788.06,Available
9,1,009,Standard,4361.95,Available
10,1,010,Standard,4206.19,Available
11,1,011,Executive,7189.52,Available
12,1,012,Suite,10846.59,Available
13,1,013,Deluxe,5625.84,Maintenance
14,1,014,Executive,7621.73,Available
15,1,015,Deluxe,6123.82,Available
16,1,016,Standard,3980.91,Available
17,1,017,Standard,4086.42,Available
18,1,018,Standard,3746.69,Available
19,1,019,Deluxe,5927.64,Available
20,1,020,Suite,10688.48,Available
21,1,021,Executive,7189.08,Available
22,1,022,Standard,4290.14,Available
23,1,023,Deluxe,5350.08,Available
24,1,024,Standard,4541.52,Available
25,2,001,Deluxe,7827.39,Available
26,2,002,Deluxe,7317.4,Available
27,2,003,Standard,4984.57,Available
28,2,004,Standard,5509.43,Available
29,2,005,Standard,5401.42,Available
30,2,006,Standard,5034.68,Available
31,2,007,Standard,5972.67,Available
32,2,008,Deluxe,7976.62,Available
33,2,009,Standard,5931.81,Available
34,2,010,Executive,10387.48,Available
35,2,011,Standard,5200.73,Available
36,2,012,Executive,10319.41,Available
37,2,013,Deluxe,7302.36,Available
38,2,014,Standard,5321.38,Maintenance
39,2,015,Standard,5520.67,Available
40,2,016,Standard,6018.96,Maintenance
41,2,017,Standard,5496.97,Available
42,2,018,Standard,4990.58,Available
43,2,019,Deluxe,6758.95,Available
44,2,020,Suite,13033.8,Available
45,2,021,Deluxe,8146.19,Available
46,2,022,Deluxe,7813.51,Available
47,2,023,Deluxe,7228.66,Available
48,2,024,Deluxe,7478.13,Available
49,2,025,Executive,9280.0,Available
50,2,026,Standard,5599.98,Available
51,2,027,Standard,5513.3,Available
52,2,028,Deluxe,6941.43,Available
53,2,029,Standard,5980.4,Available
54,2,030,Standard,5074.82,Available
55,2,031,Executive,9159.04,Available
56,2,032,Executive,9731.26,Available
57,3,001,Suite,13800.18,Available
58,3,002,Executive,8287.29,Available
59,3,003,Deluxe,7290.17,Available
60,3,004,Standard,5441.65,Available
61,3,005,Suite,13345.49,Available
62,3,006,Deluxe,6643.36,Maintenance
63,3,007,Suite,12079.4,Available
64,3,008,Deluxe,6747.18,Inactive
65,3,009,Standard,4563.26,Available
66,3,010,Standard,4915.13,Available
67,3,011,Deluxe,6555.79,Available
68,3,012,Deluxe,7003.39,Available
69,3,013,Deluxe,7470.47,Available
70,3,014,Suite,12459.35,Available
71,3,015,Deluxe,7047.83,Available
72,3,016,Standard,5049.19,Available
73,3,017,Executive,8030.82,Inactive
74,3,018,Deluxe,6516.93,Available
75,3,019,Deluxe,7435.26,Available
76,3,020,Deluxe,6916.07,Inactive
77,3,021,Standard,4853.75,Available
78,3,022,Standard,5035.13,Available
79,3,023,Standard,5397.66,Available
80,3,024,Standard,4756.01,Available
81,3,025,Standard,4801.71,Available
82,3,026,Standard,5402.16,Available
83,3,027,Deluxe,6889.52,Available
84,3,028,Standard,4803.77,Available
85,3,029,Standard,4550.24,Available
86,4,001,Deluxe,6460.84,Available
87,4,002,Executive,7789.17,Available
88,4,003,Standard,4672.02,Available
89,4,004,Deluxe,6262.96,Available
90,4,005,Deluxe,5626.88,Available
91,4,006,Executive,7824.91,Available
92,4,007,Deluxe,6545.33,Available
93,4,008,Deluxe,5695.0,Available
